Date,Stock,Price,Action
2010-02-17,ABS,27.5,BUY
2010-03-19,ABS,29.0,SELL
2010-03-25,ABS,29.5,BUY
2010-06-29,ABS,36.5,SELL
2010-07-07,ABS,37.0,BUY
2010-07-27,ABS,38.5,SELL
2010-08-03,ABS,44.0,BUY
2010-08-31,ABS,53.0,SELL
2010-09-03,ABS,54.5,BUY
2010-11-18,ABS,52.0,SELL
2010-11-23,ABS,50.5,BUY
2010-11-26,ABS,45.0,SELL
2010-11-30,ABS,46.5,BUY
2010-12-13,ABS,44.1,SELL
2011-04-28,ABS,40.05,BUY
2011-05-03,ABS,42.5,SELL
2011-08-15,ABS,37.2,BUY
2011-08-23,ABS,35.5,SELL
2011-08-24,ABS,36.0,BUY
2011-08-25,ABS,34.5,SELL
2011-08-26,ABS,34.5,BUY
2011-09-02,ABS,32.4,SELL
2011-09-05,ABS,31.3,BUY
2011-09-23,ABS,30.0,SELL
2011-09-26,ABS,28.6,BUY
2011-10-14,ABS,32.5,SELL
2011-10-19,ABS,32.0,BUY
2011-11-28,ABS,30.6,SELL
2011-11-29,ABS,30.85,BUY
2012-01-20,ABS,32.15,SELL
2012-01-26,ABS,34.05,BUY
2012-03-02,ABS,36.0,SELL
2012-03-09,ABS,36.9,BUY
2012-05-15,ABS,35.0,SELL
2012-05-16,ABS,34.0,BUY
2012-06-20,ABS,35.5,SELL
2012-07-18,ABS,36.9,BUY
2012-07-24,ABS,35.2,SELL
2012-07-25,ABS,33.5,BUY
2012-08-02,ABS,30.4,SELL
2012-08-03,ABS,31.5,BUY
2012-08-08,ABS,29.3,SELL
2012-08-09,ABS,28.5,BUY
2012-08-23,ABS,26.05,SELL
2012-08-28,ABS,24.45,BUY
2012-11-07,ABS,32.0,SELL
2012-11-08,ABS,31.75,BUY
2012-12-20,ABS,33.4,SELL
2012-12-28,ABS,33.85,BUY
2013-01-02,ABS,37.0,SELL
2013-01-08,ABS,38.75,BUY
2013-04-11,ABS,40.4,SELL
2013-04-19,ABS,42.4,BUY
2013-06-13,ABS,39.0,SELL
2013-06-20,ABS,40.0,BUY
2013-06-25,ABS,36.95,SELL
2013-06-26,ABS,38.0,BUY
2013-07-01,ABS,40.3,SELL
2013-07-05,ABS,38.5,BUY
2013-08-22,ABS,36.2,SELL
2013-08-27,ABS,32.3,BUY
2013-08-28,ABS,30.6,SELL
2013-08-29,ABS,34.0,BUY
2013-09-06,ABS,32.5,SELL
2013-09-09,ABS,32.5,BUY
2013-10-21,ABS,33.95,SELL
2013-11-08,ABS,32.1,BUY
