^FINANCIAL,07/08/2020,1244.22,1244.22,1229.57,1237,924038,-96449
AUB,07/08/2020,46.55,47,46.05,46.05,3600,-4605
BDO,07/08/2020,98.5,98.5,95.55,95.6,3381870,-113114852
BPI,07/08/2020,72,74.5,71.65,74.5,2858010,92328780
CHIB,07/08/2020,20.75,21,20.75,21,65500,-594310
EW,07/08/2020,7.9,7.9,7.74,7.8,594500,-33820
MBT,07/08/2020,38.2,38.2,37.1,37.1,3982700,-59161600
PBB,07/08/2020,8.37,8.37,8.35,8.35,300,-2508
PNB,07/08/2020,21.8,21.8,21.4,21.4,80300,-64445
PSB,07/08/2020,47.25,47.85,47,47.85,9000,371300
RCB,07/08/2020,17.16,17.16,17,17.08,125600,-636710
SECB,07/08/2020,103.5,103.6,101.5,102.5,1054770,-15240376
UBP,07/08/2020,54.9,54.95,53.65,53.65,10020,-400798
BKR,07/08/2020,0.78,0.83,0.78,0.83,2000,0
COL,07/08/2020,21,21,20.2,20.5,30100,0
FERRO,07/08/2020,2.46,2.46,2.45,2.45,5000,0
FFI,07/08/2020,8.98,9,8,8.01,23500,0
MED,07/08/2020,0.28,0.28,0.275,0.275,60000,0
NRCP,07/08/2020,0.59,0.59,0.57,0.57,400000,-173230
SLF,07/08/2020,1650,1730,1650,1730,30,24750
V,07/08/2020,1.03,1.18,1.03,1.08,569000,252850
^INDUSTRIAL,07/08/2020,7838.33,7875.77,7746.95,7779.87,1018496,-56549
ACEN,07/08/2020,2.26,2.31,2.25,2.26,1807000,313880
ACR,07/08/2020,1.16,1.17,1.15,1.17,123000,0
AP,07/08/2020,28.65,28.65,26.85,28.1,751900,-4643420
BSC,07/08/2020,0.159,0.159,0.151,0.157,450000,0
FGEN,07/08/2020,24.25,25.25,23.8,24.3,1754400,7179925
FPH,07/08/2020,64,65,64,64,58810,-1901632
MER,07/08/2020,281,281.8,279,281,215540,7813500
MWC,07/08/2020,14.18,14.24,13.66,13.7,4967700,-5005346
PCOR,07/08/2020,3.14,3.19,3.13,3.16,2216000,-85560
PERC,07/08/2020,3.2,3.49,3.02,3.26,112000,0
PNX,07/08/2020,11.36,11.44,11.36,11.44,10000,0
SHLPH,07/08/2020,19,19,18.5,18.7,618500,1335638
SPC,07/08/2020,8.03,8.03,8,8.03,41400,53728
ANI,07/08/2020,7.37,7.54,7.37,7.49,315400,23948
AXLM,07/08/2020,2.56,2.56,2.5,2.51,977000,-106420
BMM,07/08/2020,80,84.8,76,76,940,0
CNPF,07/08/2020,14.88,14.88,14.68,14.7,548700,-141394
DELM,07/08/2020,4.2,4.2,4.16,4.16,23000,-75480
DNL,07/08/2020,5.2,5.2,4.98,4.99,2638500,-5106242
EMP,07/08/2020,7.99,8.2,7.99,8.15,907200,-178200
FB,07/08/2020,69.7,69.9,69.45,69.8,12200,20213
FOOD,07/08/2020,0.56,0.58,0.56,0.56,380000,0
FRUIT,07/08/2020,1.31,1.32,1.28,1.28,6575000,24840
GSMI,07/08/2020,31.5,32,31,31.6,69500,1690760
JFC,07/08/2020,146.5,147,145.9,146.6,704290,45978200
LFM,07/08/2020,43,43,43,43,400,0
MACAY,07/08/2020,6.61,6.61,6.61,6.61,3300,0
MAXS,07/08/2020,5.47,5.58,5.42,5.45,445100,-163240
MG,07/08/2020,0.136,0.148,0.136,0.148,340000,0
PIZZA,07/08/2020,6.17,6.3,6.15,6.3,1027500,-122079
RCI,07/08/2020,1.44,1.46,1.4,1.42,1816000,-427740
RFM,07/08/2020,4.25,4.25,4.25,4.25,1000,0
SFI,07/08/2020,0.106,0.106,0.106,0.106,250000,0
URC,07/08/2020,125,126.5,123.1,124.1,2517590,-154929233
VITA,07/08/2020,0.85,0.85,0.83,0.84,1466000,111390
CA,07/08/2020,55.2,55.25,55.15,55.25,130,0
CHP,07/08/2020,1.04,1.04,1.03,1.03,3833000,40170
EAGLE,07/08/2020,9.8,9.98,9.8,9.94,14000,-44601
EEI,07/08/2020,5.26,5.38,5.15,5.37,1230000,3743858
HLCM,07/08/2020,6.2,6.6,6.05,6.55,24161300,51523824
MWIDE,07/08/2020,7.5,7.64,7,7,6486500,-5912553
T,07/08/2020,0.7,0.71,0.7,0.71,63000,0
VUL,07/08/2020,0.82,0.83,0.81,0.81,635000,0
CIP,07/08/2020,115.3,129,115.3,129,210,0
CROWN,07/08/2020,1.98,1.98,1.98,1.98,1000,0
EURO,07/08/2020,2.08,2.08,2.02,2.05,628000,0
MVC,07/08/2020,3.73,3.74,3.66,3.74,23000,0
PPC,07/08/2020,4.24,4.24,4.24,4.24,4000,0
CIC,07/08/2020,20.1,20.1,20.1,20.1,500,0
GREEN,07/08/2020,1.82,1.87,1.8,1.85,2584000,343040
IMI,07/08/2020,5.9,5.9,5.81,5.85,226800,1167630
ION,07/08/2020,1.06,1.1,1.05,1.05,116000,0
PMPC,07/08/2020,4.74,5.2,4.72,4.72,146100,0
SSP,07/08/2020,1.35,1.46,1.34,1.45,9936000,0
TECH,07/08/2020,8.45,8.45,7.6,7.66,10746700,929236
^HOLDING,07/08/2020,6508.64,6596.82,6490.02,6596.82,1908758,3266
ABA,07/08/2020,0.475,0.475,0.465,0.465,5210000,-876650
ABG,07/08/2020,8.41,8.43,8.09,8.38,24600,8250
AC,07/08/2020,751.5,770,745,748,316680,-62128475
AEV,07/08/2020,49.3,49.6,48.8,49.6,2111900,75783175
AGI,07/08/2020,6.62,6.65,6.3,6.3,11254300,-53360849
ALLHC,07/08/2020,1.71,1.72,1.69,1.7,542000,0
ANS,07/08/2020,6.16,6.22,6,6.22,45500,118052
APO,07/08/2020,0.465,0.465,0.465,0.465,10000,0
ATN,07/08/2020,0.54,0.55,0.54,0.54,291000,0
ATNB,07/08/2020,0.55,0.55,0.55,0.55,180000,22000
COSCO,07/08/2020,5.5,5.5,5.4,5.42,67600,-67070
DMC,07/08/2020,4.17,4.23,4.08,4.22,236868000,-11285069
FDC,07/08/2020,8.8,8.9,8.8,8.9,30700,-210520
GTCAP,07/08/2020,454,454,450,450,164820,9914868
HI,07/08/2020,3.4,3.4,3.4,3.4,7000,-23800
JGS,07/08/2020,66,66.5,64,66.5,1813080,19097711
LIHC,07/08/2020,0.67,0.71,0.65,0.69,2245000,-67990
LPZ,07/08/2020,2.79,2.8,2.73,2.73,1545000,2790
LTG,07/08/2020,8.45,8.5,8.21,8.45,2684700,-3220934
MHC,07/08/2020,0.5,0.5,0.45,0.5,15000,0
MPI,07/08/2020,3.62,3.68,3.58,3.62,24272000,-5533820
PA,07/08/2020,2.9,2.9,2.75,2.75,7000,0
PRIM,07/08/2020,0.87,0.87,0.84,0.84,12000,0
SGI,07/08/2020,0.97,0.98,0.97,0.98,38000,0
SGP,07/08/2020,165,165,150,150,510,0
SM,07/08/2020,945,975.5,940,975.5,180680,31563820
SMC,07/08/2020,101.5,102,99.8,102,154760,3487880
SPM,07/08/2020,1.95,1.95,1.95,1.95,2000,0
TFHI,07/08/2020,128,130,128,130,110,0
ZHI,07/08/2020,0.129,0.134,0.128,0.131,910000,43520
^PROPERTY,07/08/2020,3072.88,3087.57,3008.62,3047.6,2932365,-241534
ALCO,07/08/2020,0.54,0.56,0.53,0.56,229000,0
ALHI,07/08/2020,8.16,8.16,8.16,8.16,1300,0
ALI,07/08/2020,34.7,34.7,33.3,33.9,8438400,-148981920
ARA,07/08/2020,1,1.03,1,1.03,3000,0
BEL,07/08/2020,1.42,1.42,1.41,1.41,408000,-2830
BRN,07/08/2020,0.72,0.73,0.71,0.72,1424000,0
CDC,07/08/2020,0.74,0.79,0.74,0.79,167000,90580
CEI,07/08/2020,0.118,0.118,0.117,0.117,30000,0
CLI,07/08/2020,5.08,5.2,5.08,5.14,3217300,-504125
CPG,07/08/2020,0.38,0.38,0.37,0.37,1980000,0
CYBR,07/08/2020,0.248,0.25,0.245,0.25,160000,4900
DD,07/08/2020,17.48,17.48,17.1,17.24,128800,-416158
DMW,07/08/2020,6.02,6.2,6.02,6.16,74300,198250
ELI,07/08/2020,0.26,0.26,0.25,0.26,410000,0
EVER,07/08/2020,0.102,0.103,0.097,0.102,1420000,0
FLI,07/08/2020,1,1.01,0.99,0.99,9268000,-258670
HOUSE,07/08/2020,9.4,9.4,9.38,9.38,23100,-108918
IRC,07/08/2020,0.82,0.83,0.81,0.82,195000,0
LAND,07/08/2020,0.74,0.74,0.74,0.74,13000,9620
MEG,07/08/2020,3.18,3.18,3.02,3.09,20420000,-25514690
MRC,07/08/2020,0.149,0.15,0.148,0.15,5750000,0
PRMX,07/08/2020,1.44,1.44,1.44,1.44,1000,0
RLC,07/08/2020,17.46,17.46,16.62,16.94,1324800,-128952
ROCK,07/08/2020,1.63,1.63,1.61,1.61,148000,-4890
SHNG,07/08/2020,2.72,2.72,2.71,2.71,72000,189700
SLI,07/08/2020,1.81,1.81,1.81,1.81,3000,0
SMPH,07/08/2020,31.5,32.05,31.2,31.75,5139500,-66573880
STR,07/08/2020,3.75,3.75,3.71,3.71,5000,0
SUN,07/08/2020,1.35,1.4,1.3,1.31,2776000,-102000
TFC,07/08/2020,40.05,41,40,41,600,0
VLL,07/08/2020,3.9,3.92,3.87,3.9,452000,569450
^SERVICE,07/08/2020,1434.21,1441.94,1426.33,1441.94,1544664,49039
ABS,07/08/2020,15.2,15.4,14.96,14.96,1161400,0
GMA7,07/08/2020,5.23,5.5,5,5.49,4729800,0
MB,07/08/2020,0.35,0.35,0.34,0.34,280000,0
MBC,07/08/2020,11.7,11.7,11.7,11.7,3100,0
GLO,07/08/2020,2090,2110,2064,2096,73590,25102320
TEL,07/08/2020,1298,1350,1297,1348,275840,103270110
APL,07/08/2020,0.052,0.052,0.05,0.052,7610000,0
DITO,07/08/2020,3.24,3.3,3.05,3.1,63054000,2750810
IMP,07/08/2020,1.32,1.65,1.32,1.65,15000,0
IS,07/08/2020,0.077,0.077,0.077,0.077,20000,0
JAS,07/08/2020,1.9,1.9,1.73,1.75,922000,0
NOW,07/08/2020,2.19,2.2,2.12,2.12,3326000,135900
TBGI,07/08/2020,0.176,0.176,0.169,0.17,990000,-1729
WEB,07/08/2020,2.13,2.13,2.03,2.06,1286000,145220
2GO,07/08/2020,9.47,9.67,9.47,9.47,43500,0
ATI,07/08/2020,16.8,16.8,16.8,16.8,100,0
C,07/08/2020,3.61,3.67,3.53,3.53,585000,7260
CEB,07/08/2020,44.15,44.15,40.1,41.4,345000,841810
ICT,07/08/2020,101.5,101.9,99.8,100,2148440,-104447154
MAC,07/08/2020,6.8,6.9,6.28,6.28,14052600,824592
MAH,07/08/2020,2.17,2.17,2.09,2.11,396000,0
PAL,07/08/2020,6.7,6.7,6.55,6.6,68500,6690
TUGS,07/08/2020,0.85,0.85,0.81,0.82,166000,0
ACE,07/08/2020,1.18,1.18,1.18,1.18,1000,0
BHI,07/08/2020,0.024,0.024,0.023,0.024,14100000,0
WPI,07/08/2020,0.375,0.375,0.37,0.375,220000,-3750
CEU,07/08/2020,6.48,6.48,6.4,6.4,200,0
IPO,07/08/2020,8.79,8.79,8.79,8.79,100,0
STI,07/08/2020,0.3,0.3,0.295,0.295,2990000,-30000
BCOR,07/08/2020,2.13,2.16,2.13,2.15,20000,0
BLOOM,07/08/2020,8.14,8.2,7.8,8.2,5753900,23161363
LOTO,07/08/2020,1.89,1.89,1.89,1.89,12000,0
LR,07/08/2020,1.41,1.41,1.35,1.37,63000,0
PHR,07/08/2020,2.38,2.38,2.3,2.36,152000,-4620
PLC,07/08/2020,0.315,0.32,0.31,0.315,4110000,683550
PRC,07/08/2020,7.71,7.71,7.71,7.71,1300,-10023
HOME,07/08/2020,7.26,7.27,7.12,7.12,627300,-1606349
MRSGI,07/08/2020,1.58,1.63,1.58,1.6,2480000,2988730
PGOLD,07/08/2020,46.6,46.8,46.3,46.6,5600300,4565050
RRHI,07/08/2020,65.2,65.2,64.6,64.8,382390,-8923721
SEVN,07/08/2020,125,125.5,124.5,125,5230,-33805
SSI,07/08/2020,1.15,1.18,1.15,1.17,1736000,-874240
WLCON,07/08/2020,16.4,16.62,16,16.44,1259300,472814
APC,07/08/2020,0.31,0.315,0.31,0.315,2340000,31500
ECP,07/08/2020,6.75,6.85,6.75,6.85,10200,-13015
PHA,07/08/2020,0.198,0.204,0.198,0.201,1140000,0
SBS,07/08/2020,5.05,5.05,5.05,5.05,700,0
^MINING-OIL,07/08/2020,5500.04,5527.96,5352.73,5409.29,91733,-1487
AB,07/08/2020,8.62,9.2,8.62,9.19,34300,0
APX,07/08/2020,1.34,1.35,1.3,1.33,6773000,-2813540
AR,07/08/2020,0.001,0.001,0.0008,0.0009,1268000000,18000
AT,07/08/2020,2.27,2.27,2.22,2.25,384000,44400
BC,07/08/2020,1.57,2.05,1.57,1.88,2821000,0
BCB,07/08/2020,1.59,1.98,1.5,1.85,1113000,17470
COAL,07/08/2020,0.183,0.183,0.183,0.183,200000,0
CPM,07/08/2020,2.6,2.7,2.6,2.7,95000,135000
DIZ,07/08/2020,7.24,7.35,7.24,7.35,2600,0
FNI,07/08/2020,1.01,1.06,0.98,1,10865000,1817200
GEO,07/08/2020,0.235,0.237,0.231,0.235,460000,0
LC,07/08/2020,0.097,0.1,0.097,0.099,4450000,0
LCB,07/08/2020,0.1,0.108,0.1,0.101,1190000,0
MA,07/08/2020,0.0073,0.0074,0.0073,0.0074,24000000,0
MARC,07/08/2020,0.68,0.68,0.61,0.62,845000,0
NI,07/08/2020,1.36,1.36,1.29,1.33,327000,0
NIKL,07/08/2020,2.18,2.21,2.05,2.1,19309000,3158450
ORE,07/08/2020,0.54,0.55,0.5,0.53,896000,0
PX,07/08/2020,2.75,2.75,2.72,2.73,1302000,-249040
SCC,07/08/2020,12.56,12.56,12.34,12.36,807800,-3958030
ACEX,07/08/2020,6.47,6.55,6.45,6.54,47700,650
OPM,07/08/2020,0.0096,0.0096,0.0091,0.0091,46000000,0
OPMB,07/08/2020,0.011,0.011,0.011,0.011,4000000,0
OV,07/08/2020,0.0077,0.0078,0.0077,0.0078,165000000,0
PXP,07/08/2020,6.39,6.4,6.3,6.4,498600,341479
APVI,07/08/2020,24.65,28.45,22.9,27.9,7749500,-30356925
IDC,07/08/2020,2.06,2.06,1.99,2.01,3170000,34320
KPPI,07/08/2020,5.97,5.97,5.83,5.84,64600,0
MFIN,07/08/2020,1.92,1.92,1.92,1.92,100000,0
MM,07/08/2020,3.1,3.14,3,3.03,30897000,717020
X,07/08/2020,0.58,0.58,0.56,0.58,1870000,0
FMETF,07/08/2020,94.95,95.5,94.5,94.95,20690,94500
^PSEi,07/08/2020,6265.43,6287.74,6227.74,6285.5,8722780,-376285
^ALLSHARES,07/08/2020,3679.55,3684,3658.72,3683.75,0,0
8990P,07/08/2020,100,100.5,100,100.5,5640,0
APB2R,07/08/2020,503,503,503,503,11700,0
FGENG,07/08/2020,109,109,109,109,10,0
PNX3A,07/08/2020,101,101,101,101,100,0
PNX4,07/08/2020,1010,1010,1010,1010,150,0
PRF3B,07/08/2020,1060,1065,1060,1065,190,0
SMC2C,07/08/2020,78.45,78.45,78.45,78.45,1300,0
SMC2D,07/08/2020,75.55,75.55,75.55,75.55,10,0
SMC2E,07/08/2020,76,76,75.8,75.8,13400,4560
SMC2F,07/08/2020,79.4,79.5,79.4,79.5,25100,0
SMC2H,07/08/2020,76,76,76,76,10000,0
SMC2I,07/08/2020,78.35,78.35,78.35,78.35,200,0
ABSP,07/08/2020,14.56,14.56,14,14,122900,-574200
GMAP,07/08/2020,4.71,5.24,4.7,5.23,898400,-2512500
LRW,07/08/2020,0.68,0.68,0.68,0.68,11000,0
DMPA2,07/08/2020,10,10,10,10,10000,0
TECB2,07/08/2020,0.88,0.88,0.88,0.88,100,0
