^FINANCIAL,05/19/2020,1125.02,1134.56,1119.97,1121.57,606334,-42609
AUB,05/19/2020,48,48.25,48,48.25,11000,525215
BDO,05/19/2020,92,93.95,92,93,1769430,10352476
BPI,05/19/2020,61.15,62,61.05,62,1555360,17205335
CHIB,05/19/2020,19.54,19.54,19.4,19.4,25500,-388106
EW,05/19/2020,7.58,7.58,7,7.05,742000,-1561847
MBT,05/19/2020,35.1,35.2,33.95,33.95,4918500,-2452665
PNB,05/19/2020,20.85,21.1,20.75,20.75,542400,-87510
PSB,05/19/2020,42,43.45,42,43.45,800,0
RCB,05/19/2020,16,16.02,15.8,15.8,5600,0
SECB,05/19/2020,91.3,92.45,86,86.15,1444480,-65972175
UBP,05/19/2020,54.6,54.7,54,54,1560,0
COL,05/19/2020,16,16,15.6,15.6,2400,0
FERRO,05/19/2020,2.79,2.79,2.31,2.31,16000,0
NRCP,05/19/2020,0.74,0.81,0.63,0.68,2932000,0
PSE,05/19/2020,169,174,169,169,4250,-230341
V,05/19/2020,0.95,1,0.95,1,16000,0
^INDUSTRIAL,05/19/2020,7422.13,7461.01,7393.42,7393.42,698090,-115579
ACEPH,05/19/2020,2.25,2.25,2.2,2.23,5418000,-417460
AP,05/19/2020,26,26.25,24.6,26,2135500,-10149325
BSC,05/19/2020,0.165,0.166,0.165,0.165,60000,0
FGEN,05/19/2020,18.24,18.24,17.98,18.02,577800,-5315466
FPH,05/19/2020,54.85,55.4,54.85,55,98020,-5061090
MER,05/19/2020,272,275.4,270,272.2,359900,-31888062
MWC,05/19/2020,11.98,12.26,11.92,11.92,1077500,-2696598
PCOR,05/19/2020,3.05,3.06,3,3,1007000,283650
PERC,05/19/2020,2.4,2.4,2.38,2.38,11000,0
PNX,05/19/2020,11.14,11.44,10.92,11.36,90700,0
SHLPH,05/19/2020,17,17.28,16.8,16.94,340500,-1728014
SPC,05/19/2020,7.9,7.9,7.8,7.85,168600,0
ANI,05/19/2020,7.3,7.44,7.12,7.35,164000,33466
AXLM,05/19/2020,2.7,2.75,2.66,2.72,922000,108510
CNPF,05/19/2020,15.44,15.44,15.28,15.3,680200,-1180020
DELM,05/19/2020,3.96,3.96,3.83,3.86,13000,0
DNL,05/19/2020,5.06,5.25,5.05,5.06,1760200,3179353
EMP,05/19/2020,7.7,7.72,7.63,7.65,1255400,-9536197
FB,05/19/2020,61,62,60.95,62,648820,33082282
FOOD,05/19/2020,0.55,0.56,0.53,0.54,500000,0
FRUIT,05/19/2020,1.33,1.34,1.31,1.32,4225000,-224520
GSMI,05/19/2020,30.5,30.5,29.7,30,51700,0
JFC,05/19/2020,138,140,137.4,140,778900,7388756
MACAY,05/19/2020,6.7,6.82,6.7,6.82,4200,-10050
MAXS,05/19/2020,5.78,5.9,5.77,5.79,152300,-132383
MG,05/19/2020,0.125,0.128,0.12,0.122,2580000,236660
PIP,05/19/2020,1.91,1.91,1.9,1.91,87000,15280
PIZZA,05/19/2020,5.99,5.99,5.8,5.84,177300,-173639
RCI,05/19/2020,1.64,1.65,1.53,1.62,2904000,0
URC,05/19/2020,126.5,128.5,124.2,124.2,1259730,-73146309
VITA,05/19/2020,0.79,0.8,0.79,0.79,1658000,0
CA,05/19/2020,57.9,57.9,57.9,57.9,20,0
CHP,05/19/2020,1.06,1.09,1.05,1.08,9906000,-673730
EAGLE,05/19/2020,8.57,8.57,8.2,8.22,31300,-30845
EEI,05/19/2020,4.94,5.08,4.9,5.06,359000,147000
HLCM,05/19/2020,7.92,8,7,7.9,685400,-77220
MWIDE,05/19/2020,5.1,5.2,4.9,5.2,9390800,-18061979
PHN,05/19/2020,8.84,8.84,8.84,8.84,100,0
T,05/19/2020,0.79,0.87,0.79,0.8,72000,0
VUL,05/19/2020,0.64,0.66,0.63,0.64,531000,-38430
CROWN,05/19/2020,1.74,1.74,1.74,1.74,6000,0
EURO,05/19/2020,2.68,2.73,2.58,2.64,991000,0
MVC,05/19/2020,3.5,3.5,3.5,3.5,12000,0
CIC,05/19/2020,23.3,23.3,23,23,800,0
GREEN,05/19/2020,1.25,1.34,1.25,1.33,4321000,-61780
IMI,05/19/2020,5.22,5.49,5.22,5.46,302700,-104597
ION,05/19/2020,1.23,1.26,1.2,1.21,1077000,-67770
SSP,05/19/2020,1.29,1.37,1.28,1.35,12929000,67810
TECH,05/19/2020,8.28,8.38,7.9,7.95,3961800,652926
^HOLDING,05/19/2020,5415.01,5459.13,5399.07,5459.13,828285,-102465
ABA,05/19/2020,0.51,0.52,0.5,0.51,1950000,-148060
ABG,05/19/2020,8.07,8.3,7.9,7.92,117000,80200
AC,05/19/2020,658,664,650,650,322310,-42644120
AEV,05/19/2020,38.5,41.5,38.5,41.5,831100,-13614414
AGI,05/19/2020,6.09,6.24,6.08,6.2,1819400,-173097
ALLHC,05/19/2020,1.69,1.7,1.65,1.65,4926000,-17450
ANS,05/19/2020,6,6,5.98,5.98,10400,0
ATN,05/19/2020,0.51,0.54,0.51,0.51,983000,0
COSCO,05/19/2020,5.07,5.25,4.95,5.11,1608000,973046
DMC,05/19/2020,4.07,4.15,4.05,4.05,5224000,-1631480
FDC,05/19/2020,8.14,8.2,8.14,8.2,7500,-18040
FPI,05/19/2020,0.153,0.17,0.152,0.17,140000,0
GTCAP,05/19/2020,400,405,380.4,382,329730,-51809020
HI,05/19/2020,3.73,3.8,3.73,3.8,135000,-344400
JGS,05/19/2020,46,47.8,45.2,47.8,2187000,-16580705
KPH,05/19/2020,5.16,5.16,5.16,5.16,50000,0
LIHC,05/19/2020,0.5,0.55,0.5,0.52,68000,0
LPZ,05/19/2020,2.5,2.61,2.45,2.45,5596000,-948220
LTG,05/19/2020,7.49,7.5,7.25,7.25,3358000,-1464824
MPI,05/19/2020,2.75,2.8,2.74,2.78,25796000,18804770
PRIM,05/19/2020,0.76,0.77,0.76,0.76,105000,0
SGI,05/19/2020,0.99,1,0.99,0.99,55000,0
SM,05/19/2020,812,816,805,810,135710,7021795
SMC,05/19/2020,96.4,96.75,94,96.4,269360,44578
SOC,05/19/2020,0.65,0.69,0.65,0.65,6000,0
TFHI,05/19/2020,131,136,131,136,410,0
ZHI,05/19/2020,0.14,0.146,0.138,0.146,330000,4140
^PROPERTY,05/19/2020,2854.9,2866.07,2835.23,2835.23,895084,12189
ALCO,05/19/2020,0.51,0.52,0.5,0.52,181000,0
ALI,05/19/2020,32.25,32.5,31.85,31.9,10646700,2097090
ARA,05/19/2020,1.02,1.06,1.02,1.02,125000,0
BEL,05/19/2020,1.35,1.35,1.33,1.33,73000,-20090
BRN,05/19/2020,0.53,0.54,0.52,0.53,551000,0
CDC,05/19/2020,0.73,0.75,0.73,0.75,19000,0
CEI,05/19/2020,0.123,0.123,0.123,0.123,90000,0
CLI,05/19/2020,4.01,4.01,3.96,3.96,163000,-604700
CPG,05/19/2020,0.34,0.355,0.335,0.345,8740000,-1951549
CYBR,05/19/2020,0.285,0.285,0.285,0.285,60000,0
DD,05/19/2020,16.1,16.74,16.08,16.6,459600,2026214
DMW,05/19/2020,6.53,6.6,6.52,6.52,131200,-70657
ELI,05/19/2020,0.285,0.285,0.285,0.285,150000,0
FLI,05/19/2020,0.91,0.92,0.91,0.91,2814000,76390
GERI,05/19/2020,0.78,0.79,0.78,0.79,22000,0
HOUSE,05/19/2020,10.18,10.18,10.12,10.12,16700,0
IRC,05/19/2020,0.79,0.79,0.76,0.76,1028000,3080
LAND,05/19/2020,0.72,0.72,0.71,0.71,13000,0
MEG,05/19/2020,2.52,2.58,2.49,2.57,16763000,11021740
MRC,05/19/2020,0.143,0.143,0.142,0.142,1820000,-36919
PHES,05/19/2020,0.285,0.3,0.26,0.3,480000,0
PRMX,05/19/2020,1.43,1.5,1.4,1.5,35000,0
RLC,05/19/2020,14.64,15.04,14.48,14.82,2087500,-667176
RLT,05/19/2020,0.239,0.239,0.239,0.239,220000,0
ROCK,05/19/2020,1.46,1.47,1.45,1.45,118000,0
SHNG,05/19/2020,2.7,2.7,2.68,2.68,242000,-64270
SLI,05/19/2020,1.82,1.9,1.82,1.9,11000,0
SMPH,05/19/2020,29.7,30,29.2,29.5,4096400,5641620
STR,05/19/2020,3.7,3.78,3.61,3.63,70000,0
SUN,05/19/2020,1.2,1.23,1.19,1.2,1633000,0
VLL,05/19/2020,3.77,3.77,3.53,3.53,1876000,-5261050
^SERVICE,05/19/2020,1314.59,1328.35,1313.8,1328.35,961305,92260
ABS,05/19/2020,16.22,16.22,15.6,15.88,1284000,0
GMA7,05/19/2020,4.96,5.05,4.91,5.02,455000,0
MB,05/19/2020,0.36,0.36,0.36,0.36,60000,0
MBC,05/19/2020,16.3,16.4,14,14.2,5100,0
GLO,05/19/2020,2220,2226,2174,2212,29305,-8353050
TEL,05/19/2020,1210,1224,1210,1220,79795,-9258235
DITO,05/19/2020,2.24,2.25,2.17,2.19,12595000,-1504800
IMP,05/19/2020,1.6,1.6,1.5,1.55,50000,0
IS,05/19/2020,0.079,0.079,0.079,0.079,10000,0
NOW,05/19/2020,1.72,1.77,1.72,1.73,511000,-27660
TBGI,05/19/2020,0.18,0.183,0.18,0.183,510000,1820
WEB,05/19/2020,2.43,2.43,2.28,2.31,1483000,0
2GO,05/19/2020,10.2,10.28,9.7,9.7,156300,0
C,05/19/2020,3.16,3.18,3.1,3.1,68000,-93000
CEB,05/19/2020,40.15,43,39.7,40,119700,-2257765
ICT,05/19/2020,82,84.5,82,84.5,1233630,2768287
LBC,05/19/2020,13.78,13.78,13.78,13.78,500,0
MAC,05/19/2020,3.58,4.5,3.53,4.4,37404000,53495160
MAH,05/19/2020,2.88,2.98,2.69,2.7,9166000,0
MAHB,05/19/2020,2.75,2.75,2.63,2.75,17000,0
PAL,05/19/2020,6.98,7,6.93,6.94,8900,2778
TUGS,05/19/2020,0.83,0.86,0.8,0.83,173000,0
ACE,05/19/2020,1.13,1.13,1.01,1.11,47000,10200
BHI,05/19/2020,0.024,0.025,0.024,0.025,12600000,0
DWC,05/19/2020,1.77,1.77,1.77,1.77,1000,0
WPI,05/19/2020,0.365,0.385,0.365,0.385,70000,0
CEU,05/19/2020,6,6,6,6,300,1800
STI,05/19/2020,0.3,0.305,0.285,0.3,3390000,-197150
BCOR,05/19/2020,2.14,2.14,2.03,2.1,23000,0
BLOOM,05/19/2020,5.2,5.45,5.19,5.25,20136300,50510429
LOTO,05/19/2020,1.83,1.85,1.83,1.85,54000,0
LR,05/19/2020,1.42,1.43,1.42,1.43,66000,0
MJC,05/19/2020,2.15,2.2,2.15,2.2,12000,0
PHR,05/19/2020,2.5,2.5,2.26,2.37,87000,0
PLC,05/19/2020,0.305,0.305,0.3,0.3,6160000,0
HOME,05/19/2020,5.8,5.95,5.8,5.88,3457000,9064010
MRSGI,05/19/2020,1.62,1.68,1.61,1.63,1911000,-816640
PGOLD,05/19/2020,46.6,46.8,45.55,45.8,4357500,6684175
RRHI,05/19/2020,68.95,72.4,68.9,72.4,652790,-724502
SEVN,05/19/2020,131,131,130,131,35500,3914
SSI,05/19/2020,1.16,1.18,1.12,1.15,2240000,-208659
WLCON,05/19/2020,15,15,14.8,14.9,4007800,-6738868
APC,05/19/2020,0.28,0.31,0.28,0.3,610000,0
ECP,05/19/2020,7.09,7.15,6.93,6.93,61300,0
HVN,05/19/2020,300,300,300,300,410,-102000
PHA,05/19/2020,0.208,0.214,0.206,0.21,1630000,0
SBS,05/19/2020,5.98,5.98,5.98,5.98,12700,0
^MINING-OIL,05/19/2020,4578.78,4585.43,4465.93,4489.91,52559,-7150
AB,05/19/2020,11,11,9.7,10.66,50400,0
APX,05/19/2020,0.97,0.97,0.91,0.93,1351000,-3800
AR,05/19/2020,0.001,0.001,0.001,0.001,113000000,0
AT,05/19/2020,1.9,1.9,1.85,1.85,28000,0
BC,05/19/2020,1.14,1.14,1.12,1.12,8000,0
COAL,05/19/2020,0.18,0.18,0.17,0.179,530000,0
CPM,05/19/2020,2.68,2.73,2.68,2.73,59000,136500
DIZ,05/19/2020,7.16,7.16,7.01,7.12,1800,0
FNI,05/19/2020,0.78,0.79,0.72,0.74,4595000,50700
GEO,05/19/2020,0.202,0.205,0.199,0.201,610000,0
LC,05/19/2020,0.076,0.076,0.076,0.076,180000,0
LCB,05/19/2020,0.079,0.079,0.079,0.079,10000,0
MA,05/19/2020,0.0065,0.0065,0.0065,0.0065,1000000,0
MARC,05/19/2020,0.56,0.56,0.53,0.53,99000,0
NI,05/19/2020,0.98,1.05,0.98,1,16000,0
NIKL,05/19/2020,1.49,1.54,1.49,1.51,6643000,-6513130
ORE,05/19/2020,0.5,0.5,0.495,0.5,19000,5000
PX,05/19/2020,2.33,2.36,2.23,2.3,461000,-174490
SCC,05/19/2020,11.82,11.82,11.5,11.5,311900,-1021408
ACEX,05/19/2020,6.65,6.69,6.55,6.68,23800,-3300
OPM,05/19/2020,0.0087,0.0087,0.0087,0.0087,1000000,0
OPMB,05/19/2020,0.0085,0.0095,0.0085,0.0095,6000000,0
PXP,05/19/2020,5.38,5.5,4.91,5.05,6219900,372986
IDC,05/19/2020,1.93,1.97,1.88,1.9,1271000,209100
KPPI,05/19/2020,6.23,6.4,6,6.15,15600,0
X,05/19/2020,0.59,0.61,0.59,0.59,1581000,29500
FMETF,05/19/2020,84,85.5,84,84.45,7370,11935
^PSEi,05/19/2020,5543.59,5571.4,5537.02,5555.85,4045754,-417762
^ALLSHARES,05/19/2020,3355.33,3367.21,3350.75,3359.82,0,0
8990P,05/19/2020,99.7,99.8,99.7,99.8,11020,0
ACPB1,05/19/2020,501,501,501,501,20,0
ALCPC,05/19/2020,100,100,100,100,500,0
