^FINANCIAL,04/15/2020,1219.44,1260,1219.44,1260,2206901,-317883
AUB,04/15/2020,49,49,49,49,3300,147000
BDO,04/15/2020,103.5,109,103.3,108.5,5792380,37501315
BPI,04/15/2020,62.85,64.15,62.5,63.1,3658540,1041659
CHIB,04/15/2020,19.9,20.2,19.86,20.1,289000,-1522479
EW,04/15/2020,7.9,8.12,7.9,7.98,743400,-3766507
MBT,04/15/2020,38,41.1,38,41.1,18598200,-255481790
PNB,04/15/2020,23,24.2,23,24,2100300,-41200245
PSB,04/15/2020,42.5,44,42.1,44,1800,0
RCB,04/15/2020,17.66,18,17.6,17.6,202600,-2979916
SECB,04/15/2020,105,108,103,105,1570110,-49708380
UBP,04/15/2020,55,56,53.7,53.9,28250,-893866
COL,04/15/2020,15.3,15.58,15.26,15.28,81200,-994634
I,04/15/2020,0.97,0.97,0.97,0.97,5000,0
MED,04/15/2020,0.285,0.285,0.285,0.285,40000,0
MFC,04/15/2020,649.5,649.5,617,620,40,0
NRCP,04/15/2020,0.62,0.64,0.61,0.64,163000,-25640
PSE,04/15/2020,162.2,169.9,162.1,169.2,840,0
SLF,04/15/2020,1610,1610,1610,1610,10,0
^INDUSTRIAL,04/15/2020,7784.64,7802.47,7658.96,7728.99,1644533,-250018
ACEPH,04/15/2020,2.12,2.13,2.04,2.08,6450000,-2716870
ACR,04/15/2020,1,1,0.99,0.99,53000,0
AP,04/15/2020,27.75,28,27.7,28,2042800,-30532440
BSC,04/15/2020,0.179,0.179,0.179,0.179,10000,0
FGEN,04/15/2020,18.7,18.86,18,18.66,2404000,-1984300
FPH,04/15/2020,53.9,56,53.5,55,59500,-999212
MER,04/15/2020,277.8,278,268.4,278,260860,11818574
MWC,04/15/2020,11.7,11.7,11.52,11.52,4064700,-20637242
PCOR,04/15/2020,3.2,3.2,3,3.02,5843000,383490
PERC,04/15/2020,2.58,2.64,2.03,2.45,150000,2400
PNX,04/15/2020,10.4,10.98,10.16,10.98,114100,0
SHLPH,04/15/2020,18.42,19.32,18.42,18.82,1014000,-5851924
SPC,04/15/2020,8.1,8.1,8.03,8.05,195500,810
VVT,04/15/2020,15.08,15.08,15.08,15.08,100,0
ANI,04/15/2020,6.85,7.11,6.85,7.11,977400,-1495420
AXLM,04/15/2020,2.51,2.58,2.49,2.5,1854000,-818730
BMM,04/15/2020,80,80,80,80,290,0
CAT,04/15/2020,13.2,14,13.2,14,3400,0
CNPF,04/15/2020,14.78,14.8,14.4,14.44,624300,-338830
DELM,04/15/2020,3.8,3.98,3.8,3.9,98000,0
DNL,04/15/2020,5.94,6.15,5.69,5.69,4230900,1944897
EMP,04/15/2020,7.96,7.97,7.9,7.97,5053500,-39808635
FB,04/15/2020,59,61.45,58.1,58.4,528020,7730770
FOOD,04/15/2020,0.53,0.54,0.52,0.54,838000,0
FRUIT,04/15/2020,1.43,1.49,1.41,1.41,22749000,424390
GSMI,04/15/2020,32,32.6,32,32.5,50700,19440
JFC,04/15/2020,150,152.1,143.5,148.6,3944620,-43333138
LFM,04/15/2020,35.05,35.05,35.05,35.05,100,0
MACAY,04/15/2020,6.15,6.15,5.51,5.51,19400,0
MAXS,04/15/2020,6.7,7.45,6.51,6.58,8376400,1469886
MG,04/15/2020,0.14,0.14,0.14,0.14,60000,0
PIP,04/15/2020,1.8,1.8,1.79,1.8,783000,899800
PIZZA,04/15/2020,5.85,6.5,5.85,6.08,12049400,17170467
RCI,04/15/2020,1.39,1.43,1.38,1.4,2727000,0
RFM,04/15/2020,4.51,4.51,4.41,4.51,22000,-40490
ROX,04/15/2020,1.37,1.38,1.35,1.35,125000,0
SFI,04/15/2020,0.109,0.109,0.107,0.107,410000,0
URC,04/15/2020,132.7,134.8,128.8,131.2,2222760,-129792249
VITA,04/15/2020,0.82,0.86,0.81,0.84,20141000,430350
VMC,04/15/2020,2.35,2.5,2.31,2.31,37000,0
CHP,04/15/2020,1.14,1.15,1.08,1.09,10523000,-3062310
DAVIN,04/15/2020,4.5,4.5,4.5,4.5,1000,0
EAGLE,04/15/2020,7.8,8.55,7.65,7.7,644200,-1158148
EEI,04/15/2020,5.72,5.77,5.42,5.5,5314900,-1860344
HLCM,04/15/2020,12.18,12.18,11.64,12,544200,-1757284
MWIDE,04/15/2020,7.9,8.18,7.52,7.8,3793700,-5468375
PHN,04/15/2020,8.95,8.95,8.95,8.95,500,0
T,04/15/2020,0.74,0.74,0.66,0.72,323000,39330
VUL,04/15/2020,0.67,0.72,0.67,0.7,1408000,6700
CROWN,04/15/2020,1.81,1.9,1.81,1.9,6000,0
EURO,04/15/2020,2.3,2.35,2.17,2.28,3563000,-24290
MVC,04/15/2020,3.2,3.2,3.2,3.2,5000,0
PPC,04/15/2020,4.77,4.77,4.6,4.6,27000,-32200
CIC,04/15/2020,28.5,28.85,28.5,28.85,400,0
GREEN,04/15/2020,0.95,0.96,0.88,0.91,2633000,-47200
IMI,04/15/2020,4.73,4.9,4.7,4.8,624000,-764940
ION,04/15/2020,0.96,1.04,0.96,1.01,541000,0
SSP,04/15/2020,0.95,0.98,0.9,0.97,1095000,0
TECH,04/15/2020,6.46,6.86,6.35,6.86,4221400,165159
^HOLDING,04/15/2020,5705,5852.57,5686.08,5852.57,2369591,-449313
ABA,04/15/2020,0.61,0.63,0.57,0.57,7502000,-209140
ABG,04/15/2020,7,9,6.82,7.15,45900,19155
AC,04/15/2020,562,588,557.5,588,876810,8677915
AEV,04/15/2020,44.95,49,44.4,48.45,1535900,-21884755
