^FINANCIAL,10/01/2020,1147.36,1163.14,1146.83,1163.14,713992,66642
AUB,10/01/2020,44.5,45.1,44.5,44.55,8200,200210
BDO,10/01/2020,86.75,87.8,86.7,87.8,2585940,-806314
BPI,10/01/2020,64.5,66,64.25,66,755770,-3615058
CHIB,10/01/2020,21.75,21.8,21.65,21.65,63800,-173820
EW,10/01/2020,8.66,9.04,8.66,8.9,1488500,-333021
MBT,10/01/2020,38.35,39,38.05,38.9,6925400,68863670
PBB,10/01/2020,9.48,9.48,9.48,9.48,200,0
PNB,10/01/2020,23.9,23.9,23.4,23.4,154200,-475100
PSB,10/01/2020,51.85,51.85,51,51.85,1980,24864
PTC,10/01/2020,106.7,106.7,106.7,106.7,100,0
RCB,10/01/2020,16.7,17.4,16.4,17.3,118700,0
SECB,10/01/2020,92.15,92.15,92,92.15,244590,1884841
UBP,10/01/2020,54.2,54.4,54.2,54.2,22560,917064
BKR,10/01/2020,0.75,0.79,0.73,0.79,301000,0
COL,10/01/2020,25.65,26,25.65,25.7,14200,0
I,10/01/2020,1.29,1.29,1.2,1.22,192000,0
MED,10/01/2020,0.285,0.285,0.285,0.285,480000,0
MFC,10/01/2020,720,720,720,720,10,0
NRCP,10/01/2020,0.62,0.62,0.58,0.62,58000,0
SLF,10/01/2020,1825,1825,1825,1825,85,155125
^INDUSTRIAL,10/01/2020,7924.54,7952.62,7880.77,7905.81,762872,-129357
ACEN,10/01/2020,3.11,3.16,3.06,3.1,17124000,-1982100
ACR,10/01/2020,1.23,1.24,1.22,1.24,891000,-288040
AP,10/01/2020,25.55,26.5,25.55,26.4,765200,-1826875
BSC,10/01/2020,0.161,0.163,0.158,0.161,970000,0
FGEN,10/01/2020,23.45,23.7,23.15,23.25,2305900,-37776450
FPH,10/01/2020,61.6,61.6,60,60,12250,-7655
MER,10/01/2020,275.6,275.6,271,271.4,113140,-23974836
MWC,10/01/2020,14.8,14.84,14.5,14.6,1288500,1031170
PCOR,10/01/2020,3.04,3.07,3,3,2917000,-5651520
PERC,10/01/2020,3.01,3.1,3.01,3.1,67000,0
PNX,10/01/2020,10.84,11.36,10.72,11.36,771400,0
SHLPH,10/01/2020,16.1,16.1,15.32,15.4,1397100,-7082800
SPC,10/01/2020,9.9,10,9.81,9.86,96500,20000
ANI,10/01/2020,7.94,7.94,7.7,7.83,98100,15400
AXLM,10/01/2020,2.75,2.76,2.63,2.68,2185000,89040
CAT,10/01/2020,12,12,12,12,100,0
CNPF,10/01/2020,17.16,17.2,17,17.2,3062200,-10301860
DELM,10/01/2020,4.84,4.84,4.67,4.67,38000,-23540
DNL,10/01/2020,5.54,5.6,5.42,5.5,2442300,1351550
EMP,10/01/2020,9.89,9.9,9.83,9.9,483500,-352684
FB,10/01/2020,63.5,64,63.5,64,55290,-1158544
FOOD,10/01/2020,0.65,0.65,0.62,0.64,2699000,0
FRUIT,10/01/2020,1.2,1.2,1.16,1.2,11521000,21210
GSMI,10/01/2020,49.6,50.1,49,49.95,12300,258170
JFC,10/01/2020,145,145,143,143.6,330260,-810938
MACAY,10/01/2020,8,8.18,8,8.16,1700,0
MAXS,10/01/2020,4.96,4.97,4.93,4.93,49000,0
MG,10/01/2020,0.128,0.128,0.128,0.128,100000,0
PIZZA,10/01/2020,5.81,5.89,5.79,5.79,28900,-9306
RCI,10/01/2020,1.19,1.2,1.17,1.18,4652000,-885830
RFM,10/01/2020,4.76,4.79,4.76,4.79,8000,19070
ROX,10/01/2020,1.79,1.81,1.68,1.68,92000,0
SFI,10/01/2020,0.105,0.105,0.105,0.105,310000,0
URC,10/01/2020,134.1,135,133.2,135,397490,-22854567
VITA,10/01/2020,0.77,0.77,0.75,0.76,11157000,0
CA,10/01/2020,51.25,51.25,51.1,51.1,350,0
CAB,10/01/2020,53,54.9,51.75,54.85,50,0
CHP,10/01/2020,1.65,1.73,1.54,1.54,92768000,-7563450
DAVIN,10/01/2020,3.12,3.29,3.12,3.29,24000,0
EAGLE,10/01/2020,14.32,14.48,14.18,14.48,703100,-2654120
