^FINANCIAL,09/28/2020,1141.25,1148.72,1141.25,1142.28,1964954,-38002
AUB,09/28/2020,45,45,44.1,44.2,1700,-53300
BDO,09/28/2020,87,87.7,86.45,86.45,2255100,-62467713
BPI,09/28/2020,63.9,64.7,63.65,64,1355350,-10070062
CHIB,09/28/2020,21.8,21.8,21.65,21.65,75300,-1104920
EW,09/28/2020,8.15,8.19,8.14,8.15,162100,-167283
MBT,09/28/2020,37.6,38.4,37.6,38.25,4594800,47273115
PBB,09/28/2020,9.31,9.47,9.31,9.35,11900,0
PNB,09/28/2020,23.35,24.6,23.35,24.15,456500,-1201090
PSB,09/28/2020,51.95,51.95,50.05,51.9,690,0
RCB,09/28/2020,16.5,16.54,16.18,16.4,118700,-776112
SECB,09/28/2020,92,92.4,91.6,91.9,279630,-9332635
UBP,09/28/2020,54.1,54.45,54.1,54.15,2890,-76480
BKR,09/28/2020,0.74,0.81,0.74,0.81,3000,0
COL,09/28/2020,25.8,27,25.4,25.4,109300,-6940
FAF,09/28/2020,0.58,0.58,0.58,0.58,2000,0
FERRO,09/28/2020,3.03,3.14,2.91,3.14,31000,0
FFI,09/28/2020,8.31,8.31,7.34,7.34,700,0
I,09/28/2020,1.27,1.37,1.23,1.3,151000,-19090
MED,09/28/2020,0.285,0.285,0.285,0.285,70000,0
NRCP,09/28/2020,0.62,0.62,0.62,0.62,1000,0
PSE,09/28/2020,157.6,157.6,153.5,156.9,2120,0
V,09/28/2020,1.03,1.03,1.03,1.03,320000,0
^INDUSTRIAL,09/28/2020,7906.63,7922.47,7860.64,7906.62,624629,-52356
ACEN,09/28/2020,3.15,3.22,3.12,3.15,11989000,-468680
ACR,09/28/2020,1.24,1.24,1.22,1.24,573000,0
AP,09/28/2020,26.2,26.5,26.1,26.5,673800,2599350
BSC,09/28/2020,0.161,0.165,0.16,0.165,1380000,0
FGEN,09/28/2020,23.75,23.9,23.35,23.75,1721000,-38568950
FPH,09/28/2020,61.6,61.6,60,61,4050,-20786
MER,09/28/2020,277,277.6,274,277.6,181780,-21758524
MWC,09/28/2020,14.9,15,14.42,14.5,3850200,-269266
PCOR,09/28/2020,3.05,3.08,3.05,3.08,767000,-230270
PERC,09/28/2020,3.1,3.21,3.1,3.1,22000,-3100
