Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
0.0065,0.006999999999999999,0.0065,0.006999999999999999,51000000.0,51000000.0,51000000.0,1.0,,,,,-49569946.5711344,1000.0,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.0,,0.0,0.0,0.006833333333333333,0.007333333333333333,0.006333333333333333,14.634146341463417,0.6666666666666661,0.0,0.0,0.006999999999999999,0.006999999999999999,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,,0.5052564223057644,-986.3349687867423,-986.3349687867423,0.0,0.006749999999999999,0.006749999999999999,0.5120719768170426,0.5150575657894736,4.0,4.0,0.0,0.006999999999999999,,,0.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,,,-98.63349687867424,,0.0
0.006999999999999999,0.008,0.006999999999999999,0.0075,171000000.0,51000000.0,222000000.0,0.22972972972972974,,,4.385964912280707e-07,4.385964912280707e-07,-38088797.693838134,1000.0,0.0,0.0072499999999999995,0.00775,0.006749999999999999,13.793103448275875,0.75,0.0,0.0,0.007166666666666667,0.007916666666666667,0.006416666666666666,20.930232558139554,0.7222222222222219,0.0,0.0,0.006999999999999999,0.0075,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,66.66666666666659,0.5050064223057644,-985.8469319576976,-986.0909503722199,0.24401841452231565,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,8.0,4.0,4.0,0.0075,,,0.0,0.0,100.0,100.0,,66.66666666666664,83.33333333333331,-33.33333333333335,0.0,,,7.14285714285714,6.899287148695166,7.14285714285714
0.006999999999999999,0.0075,0.006999999999999999,0.0075,17000000.0,68000000.0,239000000.0,0.28451882845188287,,,-7.352941176470602e-07,-1.4834881320949476e-07,12214285.714285726,1000.0,0.0,0.007333333333333333,0.007804737854124365,0.0068619288125423014,12.856486930664502,0.6767766952966368,0.0,0.0,0.007222222222222223,0.00788888888888889,0.006555555555555555,18.461538461538478,0.7083333333333328,0.0,0.0,0.006999999999999999,0.0075,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,28.571428571428413,0.5049230889724311,-985.6842530146824,-985.9553845863742,0.27113157169173974,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,8.0,4.0,4.0,0.006999999999999999,,0.006999999999999999,0.0,1.0,100.0,100.0,,66.66666666666664,77.77777777777776,-33.33333333333335,0.0,,,0.0,0.0,7.14285714285714
0.006999999999999999,0.0075,0.006999999999999999,0.0075,56000000.0,124000000.0,295000000.0,0.42033898305084744,,,0.0,-9.889920880632984e-08,0.0,1000.0,0.0,0.007375,0.007808012701892219,0.00694198729810778,11.742717339450026,0.6443375672974064,0.0,0.0,0.00725,0.007875,0.006625,17.24137931034483,0.6999999999999998,0.0,0.0,0.006999999999999999,0.0075,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,26.66666666666653,0.5048814223057644,-985.6029135431751,-985.8672668255743,0.26435328239927003,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,8.0,4.0,4.0,0.006999999999999999,0.006999999999999999,,1.0,0.0,100.0,100.0,,66.66666666666664,66.66666666666663,-33.33333333333335,0.0,,,0.0,0.0,7.14285714285714
0.0075,0.008,0.0075,0.0075,121000000.0,3000000.0,416000000.0,0.007211538461538462,,,2.0661157024793427e-07,-2.2521514042763814e-08,0.0,1000.0,0.0,0.0073999999999999995,0.0078,0.006999999999999999,10.810810810810818,0.6250000000000002,0.0,0.0,0.007333333333333333,0.007933333333333334,0.0067333333333333325,16.363636363636385,0.6388888888888886,0.0,0.0,0.006999999999999999,0.0075,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,111.11111111111101,0.5048564223057644,-985.5541098602704,-985.8046354325136,0.25052557224319116,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,8.0,4.0,4.0,0.006999999999999999,0.006999999999999999,,0.0,0.0,100.0,100.0,,66.66666666666664,66.66666666666663,-33.33333333333335,0.0,,,0.0,0.0,7.14285714285714
0.0075,0.0075,0.0075,0.0075,40000000.0,3000000.0,456000000.0,0.006578947368421052,,,-0.0,-1.801721123421105e-08,0.0,1000.0,0.0,0.007416666666666666,0.0077893446629166314,0.007043988670416701,10.049743719100192,0.6118033988749898,0.0,0.0,0.007361111111111111,0.007861111111111112,0.00686111111111111,13.584905660377384,0.6388888888888883,0.0,0.0,0.006999999999999999,0.0075,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,47.61904761904763,0.5048397556390978,-985.5215740716675,-985.7574585390392,0.23588446737176127,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,8.0,4.0,4.0,0.006999999999999999,0.006999999999999999,,0.0,0.0,100.0,100.0,,66.66666666666664,66.66666666666663,-33.33333333333335,0.00011666666666666683,,,0.0,0.0,7.14285714285714
0.0075,0.008,0.0075,0.008,21000000.0,24000000.0,477000000.0,0.050314465408805034,,,5.952380952380964e-07,8.419200651117352e-08,1400000.0000000014,1066.6666666666667,0.0,0.0075,0.008034522483824849,0.006965477516175151,14.253932901995976,0.9677071733467428,0.0,0.0,0.0074285714285714285,0.007928571428571429,0.006928571428571428,13.461538461538474,1.0714285714285712,1.0,0.0,0.006999999999999999,0.008,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,120.20202020202011,0.5047564223057645,-985.3588951286525,-985.700520908984,0.3416257803314693,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,28.000000000000004,4.0,24.000000000000004,0.007039999999999999,0.007039999999999999,,0.0,0.0,100.0,100.0,,100.0,77.77777777777776,-0.0,0.00010714285714285687,,,6.666666666666665,6.453852113757108,14.285714285714302
0.008,0.008,0.0075,0.008,25000000.0,49000000.0,502000000.0,0.09760956175298804,,,0.0,7.21645770095773e-08,1400000.0000000014,1066.6666666666667,0.0,0.0075625,0.00816197894041409,0.006963021059585909,15.853988506818933,0.8649002245998806,0.0,0.0,0.007479166666666666,0.007979166666666667,0.006979166666666666,13.370473537604482,1.0208333333333328,1.0,0.0,0.006999999999999999,0.008,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,100.74074074074075,0.5046939223057644,-985.2368859213915,-985.6425665355349,0.4056806141434208,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,28.000000000000004,4.0,24.000000000000004,0.0070783999999999994,0.0070783999999999994,,0.0,0.0,100.0,100.0,,100.0,88.88888888888887,-0.0,0.00016250000000000032,,,0.0,0.0,14.285714285714302
0.0075,0.008,0.0075,0.0075,88000000.0,-39000000.0,414000000.0,-0.06610169491525424,,,0.0,6.314400488338014e-08,-5500000.000000005,1066.6666666666667,0.0,0.007555555555555556,0.008122113279288088,0.006988997831823024,14.997116216449374,0.4509709662154535,0.0,0.0,0.007499999999999999,0.008,0.006999999999999998,13.333333333333359,0.5000000000000004,0.0,0.0,0.006999999999999999,0.008,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,50.00000000000017,0.5047008667502089,-985.2504424999757,-985.5989971982506,0.34855469827482466,0.0072499999999999995,0.0072499999999999995,0.5120719768170426,0.5150575657894736,28.000000000000004,4.0,24.000000000000004,0.007115264,0.007115264,,0.0,0.0,59.30833290198872,97.38132598438143,,66.66666666666664,88.88888888888887,-33.33333333333335,0.00022777777777777727,,,-6.25,-6.453852113757108,7.14285714285714
0.008,0.009000000000000001,0.008,0.008,384000000.0,-423000000.0,798000000.0,-0.4342915811088296,,,1.9531250000000035e-07,7.782939322967127e-08,20100000.000000022,1066.6666666666667,0.0006000000000000005,0.007600000000000001,0.008200000000000002,0.007,15.789473684210552,0.8333333333333318,0.0,0.0,0.0075833333333333326,0.008133333333333334,0.0070333333333333315,14.505494505494546,0.8787878787878782,0.0,0.0,0.006999999999999999,0.008,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,176.47058823529434,0.5046564223057644,-985.1636803970343,-985.4688540438385,0.30517364680417813,0.007875,0.00775,0.5120719768170426,0.5150575657894736,28.000000000000004,4.0,24.000000000000004,0.00715065344,0.00715065344,,0.0,0.0,71.70688420148286,95.25438908743956,,59.999999999999986,75.55555555555554,-40.000000000000014,0.00027499999999999834,0.008,,6.666666666666665,6.453852113757108,14.285714285714302
