^FINANCIAL,05/13/2020,1165.85,1166.3,1153.84,1162.77,465064,-112879
AUB,05/13/2020,47.9,48,47.9,48,2500,119900
BDO,05/13/2020,99,99,97.1,99,581400,-21781503
BPI,05/13/2020,61,61,60.45,60.8,1256170,2959583
CHIB,05/13/2020,19.7,19.72,19.66,19.68,93600,-594940
EW,05/13/2020,7.72,7.72,7.5,7.55,371500,-20555
MBT,05/13/2020,36.7,36.75,36.2,36.2,1543100,-27273835
PBB,05/13/2020,10,10,9.94,9.94,1200,0
PNB,05/13/2020,23,23,21.7,21.75,216700,-1918050
RCB,05/13/2020,16.6,16.6,16.4,16.4,22900,296840
SECB,05/13/2020,90.5,95,90.5,92,2313590,-64666642
UBP,05/13/2020,54.6,54.6,54,54,3710,0
COL,05/13/2020,16,16,16,16,1200,0
FERRO,05/13/2020,2.67,2.67,2.64,2.64,5000,0
MED,05/13/2020,0.3,0.305,0.28,0.305,810000,0
MFC,05/13/2020,650,650,640,640,40,0
NRCP,05/13/2020,0.6,0.64,0.6,0.64,502000,0
PSE,05/13/2020,168.5,168.5,168.5,168.5,90,0
^INDUSTRIAL,05/13/2020,7572.16,7572.16,7487.32,7548.71,1021331,-104960
ACEPH,05/13/2020,2.26,2.31,2.25,2.27,2432000,-27589
ACR,05/13/2020,0.97,0.97,0.97,0.97,10000,0
AP,05/13/2020,26.8,26.8,26.2,26.2,890300,-13563965
BSC,05/13/2020,0.169,0.169,0.169,0.169,30000,0
FGEN,05/13/2020,18.32,18.48,17.8,17.8,534000,-2944790
FPH,05/13/2020,57.2,57.2,56.45,56.45,4700,-47505
MER,05/13/2020,264,270,259.2,270,1726630,-7586188
MWC,05/13/2020,12.64,12.8,12.5,12.5,2368000,-5349824
PCOR,05/13/2020,3.12,3.12,3.08,3.1,944000,474640
PERC,05/13/2020,2.62,2.62,2.12,2.32,124000,12250
PNX,05/13/2020,11.54,11.58,11.54,11.54,31300,-17310
SHLPH,05/13/2020,18.8,18.8,18.54,18.54,309800,-3061510
SPC,05/13/2020,8.36,8.36,8.11,8.14,270300,65680
VVT,05/13/2020,15.06,15.06,15.06,15.06,600,0
ANI,05/13/2020,7.43,7.69,7.36,7.48,405000,178636
AXLM,05/13/2020,2.9,2.93,2.9,2.91,1172000,2395460
BMM,05/13/2020,73.35,73.35,73.35,73.35,90,0
CNPF,05/13/2020,15.28,15.28,15,15.26,743100,1347774
DELM,05/13/2020,4.05,4.05,3.97,3.97,14000,0
DNL,05/13/2020,5.1,5.2,5.05,5.05,1089400,-1166278
EMP,05/13/2020,7.79,7.8,7.7,7.73,2809900,-19218642
FB,05/13/2020,64,64,61.95,63.5,74240,280092
FOOD,05/13/2020,0.56,0.56,0.54,0.55,185000,0
FRUIT,05/13/2020,1.31,1.33,1.3,1.31,4243000,1156780
GSMI,05/13/2020,30.2,30.9,30,30.9,34000,0
JFC,05/13/2020,140.6,141,137.1,138,398280,-6917879
MAXS,05/13/2020,6.3,6.3,6.11,6.15,716500,-555014
MG,05/13/2020,0.14,0.14,0.14,0.14,10000,-1400
PIP,05/13/2020,1.92,1.92,1.91,1.92,206000,342000
PIZZA,05/13/2020,6.5,6.54,6.4,6.52,409600,159600
RCI,05/13/2020,1.63,1.65,1.52,1.62,853000,155000
RFM,05/13/2020,4.26,4.26,4.21,4.21,10000,0
ROX,05/13/2020,1.4,1.4,1.32,1.32,22000,0
SFI,05/13/2020,0.113,0.113,0.107,0.11,800000,0
URC,05/13/2020,130,131.4,129.1,131,1193790,-48326419
VITA,05/13/2020,0.81,0.81,0.8,0.8,3077000,-28000
VMC,05/13/2020,2.3,2.3,2.3,2.3,20000,0
CA,05/13/2020,57.9,57.9,57.9,57.9,20,0
CHP,05/13/2020,1.18,1.22,1.15,1.16,26252000,-1581369
EAGLE,05/13/2020,8.5,8.5,8.35,8.4,116000,8480
EEI,05/13/2020,5.38,5.38,5.2,5.2,3191300,-104667
HLCM,05/13/2020,7.69,8.21,7.55,7.84,3470100,-883142
MWIDE,05/13/2020,6.25,6.3,6,6.03,4499900,-752939
PHN,05/13/2020,8.3,8.32,8.3,8.3,3600,-4150
T,05/13/2020,0.8,0.8,0.77,0.79,15000,0
VUL,05/13/2020,0.65,0.68,0.65,0.68,291000,0
CIP,05/13/2020,142,142.1,142,142.1,20,0
CROWN,05/13/2020,1.74,1.76,1.7,1.76,101000,0
EURO,05/13/2020,2.45,2.55,2.4,2.52,812000,-14960
LMG,05/13/2020,4.5,4.59,4.5,4.59,2000,0
MVC,05/13/2020,3.4,3.5,3.4,3.5,21000,0
PPC,05/13/2020,4.41,4.41,4.23,4.23,27000,-38450
GREEN,05/13/2020,1.26,1.27,1.23,1.24,1232000,13530
IMI,05/13/2020,5.45,5.45,5.26,5.26,49500,0
ION,05/13/2020,1.19,1.19,1.14,1.18,46000,-45999
PMPC,05/13/2020,4.89,4.89,4.8,4.8,2000,0
SSP,05/13/2020,1.2,1.2,1.15,1.18,1135000,0
TECH,05/13/2020,8.6,8.9,8.11,8.26,10056800,687875
^HOLDING,05/13/2020,5608.3,5608.3,5562.84,5594.91,946548,-43912
ABA,05/13/2020,0.53,0.54,0.51,0.51,9442000,-382540
ABG,05/13/2020,8.3,8.3,8.01,8.08,14400,0
AC,05/13/2020,704,704,682.5,691,419340,79998310
AEV,05/13/2020,41.2,41.3,40.8,40.9,379800,-1646125
AGI,05/13/2020,6.2,6.24,6.2,6.21,1597300,-2913263
ALLHC,05/13/2020,1.79,1.85,1.78,1.8,2502000,148300
ANS,05/13/2020,6.1,6.1,6.1,6.1,26700,118340
APO,05/13/2020,0.54,0.54,0.52,0.52,169000,0
ATN,05/13/2020,0.54,0.54,0.51,0.53,976000,0
ATNB,05/13/2020,0.54,0.54,0.54,0.54,101000,540
COSCO,05/13/2020,5.19,5.19,5.11,5.13,778100,654321
DMC,05/13/2020,4.37,4.48,4.25,4.25,13279000,4656030
FDC,05/13/2020,8.2,8.2,8.2,8.2,1000,0
GTCAP,05/13/2020,424,424.6,415.2,420,105390,5605342
HI,05/13/2020,3.8,3.8,3.8,3.8,20000,-76000
JGS,05/13/2020,48.8,49.4,48.1,48.4,2167600,-92658670
KPH,05/13/2020,5.14,5.2,5.14,5.2,212000,0
LIHC,05/13/2020,0.54,0.56,0.53,0.55,217000,0
LPZ,05/13/2020,2.61,2.63,2.56,2.57,1752000,-38840
LTG,05/13/2020,7.6,7.6,7.32,7.38,4652700,-4158585
