^FINANCIAL,05/15/2020,1154.2,1154.76,1129.4,1129.4,1110504,-360110
AUB,05/15/2020,48,48,48,48,2000,96000
BDO,05/15/2020,97.1,97.85,93,93,5424980,-266380769
BPI,05/15/2020,61,61,60.5,60.85,5874650,-47138430
CHIB,05/15/2020,19.6,19.6,19.54,19.54,83500,-785157
EW,05/15/2020,7.4,7.45,7.3,7.3,395300,-1590233
MBT,05/15/2020,36.25,36.25,35.5,35.5,2459000,-33443140
PNB,05/15/2020,21,22.1,20.5,20.5,441500,-114675
PSB,05/15/2020,42.1,42.5,42.1,42.15,2300,0
RCB,05/15/2020,16.2,16.46,15.9,15.9,165000,-320378
SECB,05/15/2020,92.05,92.9,91.1,91.1,540910,-9830826
UBP,05/15/2020,54,54,53.6,53.8,25310,-619314
COL,05/15/2020,15.4,16,15.4,16,500,0
FERRO,05/15/2020,2.53,2.53,2.53,2.53,8000,0
I,05/15/2020,0.94,0.94,0.94,0.94,11000,0
MED,05/15/2020,0.295,0.31,0.295,0.31,230000,0
NRCP,05/15/2020,0.68,0.72,0.63,0.72,2785000,0
PSE,05/15/2020,169.5,169.5,168.5,169,620,16860
SLF,05/15/2020,1620,1620,1590,1590,60,0
V,05/15/2020,1.05,1.05,1.05,1.05,1000,0
^INDUSTRIAL,05/15/2020,7594.62,7595.84,7493.08,7506.67,752797,-111175
ACEPH,05/15/2020,2.28,2.3,2.27,2.28,3615000,1194949
ACR,05/15/2020,0.96,0.96,0.96,0.96,27000,0
AP,05/15/2020,26.5,26.5,25.65,25.65,1663500,-10911680
FGEN,05/15/2020,18.28,18.28,18,18.04,262200,-2139201
FPH,05/15/2020,55.15,57.7,55,55,24510,-1262009
MER,05/15/2020,274,275.4,265.4,274.4,443050,11589802
MWC,05/15/2020,12,12.3,11.96,11.98,1557900,-3326374
PCOR,05/15/2020,3.07,3.08,3,3.03,948000,-118790
PERC,05/15/2020,2.5,2.5,2.25,2.43,97000,0
PNX,05/15/2020,11.5,11.5,11.36,11.36,29200,1150
SHLPH,05/15/2020,18.3,18.3,17.72,17.72,339000,-1613386
SPC,05/15/2020,8.15,8.28,8.15,8.2,454900,0
VVT,05/15/2020,15.04,15.06,15.04,15.06,200,0
ANI,05/15/2020,7.58,7.69,7.35,7.43,107600,88905
AXLM,05/15/2020,2.92,2.93,2.9,2.9,289000,533590
CNPF,05/15/2020,15.3,15.34,15.2,15.28,1007400,-963416
DELM,05/15/2020,3.96,3.96,3.96,3.96,1000,0
DNL,05/15/2020,5.15,5.3,5.13,5.3,2999600,11437416
EMP,05/15/2020,7.73,7.8,7.61,7.73,1775400,-13337115
FB,05/15/2020,62.9,62.9,60.05,60.5,115890,287696
FOOD,05/15/2020,0.59,0.59,0.56,0.56,295000,0
FRUIT,05/15/2020,1.38,1.41,1.37,1.37,14606000,156829
GSMI,05/15/2020,30.9,30.9,29.6,30.45,8100,3000
JFC,05/15/2020,139,140,136.2,137.2,618100,-12453367
MACAY,05/15/2020,6.8,6.8,6.16,6.7,10800,0
MAXS,05/15/2020,6.1,6.2,6.04,6.04,199900,-328994
PIP,05/15/2020,1.9,1.91,1.9,1.91,1025000,-1900000
PIZZA,05/15/2020,6.37,6.45,6.05,6.07,1550300,-2537239
RCI,05/15/2020,1.55,1.66,1.54,1.6,2050000,0
RFM,05/15/2020,4.49,4.49,4.49,4.49,2000,0
URC,05/15/2020,132,132,129.1,130,1890350,-76368660
VITA,05/15/2020,0.8,0.81,0.8,0.81,736000,35640
CA,05/15/2020,57.9,57.9,57.9,57.9,70,0
CHP,05/15/2020,1.18,1.19,1.15,1.15,6050000,-2775830
DAVIN,05/15/2020,4.01,4.01,4.01,4.01,1000,0
EAGLE,05/15/2020,8.59,8.59,8.11,8.48,28200,-64992
EEI,05/15/2020,5.19,5.26,5.14,5.2,383900,0
HLCM,05/15/2020,7.79,7.79,7.56,7.68,355500,-764
MWIDE,05/15/2020,5.83,5.85,5.58,5.65,3573100,-6425180
PHN,05/15/2020,8.29,8.29,8.29,8.29,400,0
T,05/15/2020,0.75,0.79,0.75,0.79,11000,0
