^FINANCIAL,04/22/2020,1189.81,1198.98,1182.38,1189.6,747482,-105348
AUB,04/22/2020,45.25,48.3,45,48.3,12500,341370
BDO,04/22/2020,100,102,99.65,100.5,2768990,-20750538
BPI,04/22/2020,59.8,60.15,59.2,60,3226130,-37726498
CHIB,04/22/2020,19.96,19.96,19.86,19.88,122600,-860874
EW,04/22/2020,7.88,7.88,7.78,7.8,98700,-19542
MBT,04/22/2020,38.5,39.05,37.6,38.05,3677300,-59525230
PNB,04/22/2020,23.7,23.7,23,23.5,193600,-1572530
PSB,04/22/2020,42.5,42.5,41,41,5000,0
PTC,04/22/2020,125.9,125.9,98,98,540,1960
RCB,04/22/2020,17.28,17.28,17,17.28,7000,-98496
SECB,04/22/2020,103.4,104.2,102,103.2,554670,15070431
UBP,04/22/2020,54.85,54.85,53,53.9,5500,-208978
COL,04/22/2020,15.5,15.86,15.5,15.6,14600,0
MED,04/22/2020,0.31,0.32,0.3,0.3,390000,0
MFC,04/22/2020,630,630,629,629,40,0
NRCP,04/22/2020,0.67,0.67,0.65,0.65,115000,0
PSE,04/22/2020,163,168.9,163,168.8,370,0
SLF,04/22/2020,1510,1510,1510,1510,30,0
^INDUSTRIAL,04/22/2020,7222,7279.31,7078.93,7277.63,1498850,193845
ACEPH,04/22/2020,2.37,2.42,2.24,2.41,28054000,13027640
ACR,04/22/2020,0.93,0.93,0.93,0.93,115000,0
AP,04/22/2020,26.45,27.35,25.7,27.35,1684500,-3750475
FGEN,04/22/2020,18,18.16,17.8,18.16,888800,1938768
FPH,04/22/2020,56.2,56.2,55.8,56,38540,1005152
MER,04/22/2020,255,270,252.2,270,252590,6489238
MWC,04/22/2020,10.84,10.86,10.5,10.8,4110500,-327350
PCOR,04/22/2020,3.08,3.16,3,3.13,2151000,-56830
PERC,04/22/2020,2.33,2.56,2.33,2.56,40000,0
PNX,04/22/2020,10.1,10.4,10,10.3,282100,0
SHLPH,04/22/2020,17.9,18.26,17.5,18.26,1635900,3322630
SPC,04/22/2020,8,8,7.98,7.98,8900,0
VVT,04/22/2020,14.42,14.42,13.5,13.5,13900,0
ANI,04/22/2020,7.6,7.8,7.45,7.6,358000,64055
AXLM,04/22/2020,2.63,2.88,2.61,2.65,7495000,-3778610
BMM,04/22/2020,73.4,73.4,73.4,73.4,40,0
CAT,04/22/2020,12.8,13.3,12.8,13.3,1100,0
CNPF,04/22/2020,14.5,14.5,13.8,13.8,636600,-2414740
DELM,04/22/2020,3.8,3.8,3.5,3.5,6000,0
DNL,04/22/2020,5.63,5.63,5.38,5.45,1530500,-4147943
EMP,04/22/2020,7.97,7.98,7.91,7.97,2963700,-19925000
FB,04/22/2020,59.2,59.2,55,59,167520,4529238
FOOD,04/22/2020,0.5,0.52,0.5,0.5,269000,7500
FRUIT,04/22/2020,1.35,1.44,1.31,1.44,13885000,89220
GSMI,04/22/2020,32.6,32.6,31.05,32.5,29600,19440
JFC,04/22/2020,135,135,131,134,5807560,271910075
MACAY,04/22/2020,6.25,6.25,6.25,6.25,200,0
MAXS,04/22/2020,6.08,6.08,5.8,6,946100,31158
PIP,04/22/2020,1.84,1.84,1.81,1.81,1767000,-874320
PIZZA,04/22/2020,5.8,5.8,5.59,5.8,1172100,2325991
RCI,04/22/2020,1.46,1.46,1.46,1.46,191000,0
RFM,04/22/2020,4.5,4.5,4.5,4.5,3000,0
SFI,04/22/2020,0.108,0.115,0.108,0.115,230000,-1150
URC,04/22/2020,118.5,122,115.2,118,1052790,-52233367
VITA,04/22/2020,0.83,0.84,0.79,0.81,5594000,-73200
CA,04/22/2020,53.05,53.05,53.05,53.05,240,0
CAB,04/22/2020,47,59.9,47,59.9,20,0
CHP,04/22/2020,1.05,1.05,1.02,1.02,6048000,-3016550
EAGLE,04/22/2020,8,8.01,7.81,8,1523300,-11932151
EEI,04/22/2020,5.39,5.4,5.1,5.24,2210300,-1432926
HLCM,04/22/2020,11.48,11.48,11.02,11.4,150300,-123794
MWIDE,04/22/2020,7,7,6.75,6.81,1731800,-6895943
