^FINANCIAL,04/07/2020,1233.5,1234.84,1191,1198.45,1042832,-345525
AUB,04/07/2020,47.5,47.5,47.4,47.5,5200,237350
BDO,04/07/2020,105.3,106,100,101.5,3394950,-151190265
BPI,04/07/2020,62.95,63.4,59.7,61,3209690,-71997579
CHIB,04/07/2020,21,21,19.94,20.8,72800,-1104566
EW,04/07/2020,7.9,7.97,7.8,7.8,125500,-546291
MBT,04/07/2020,38.1,38.4,37.05,37.05,6284300,-91726665
PBB,04/07/2020,8.61,8.65,8.61,8.65,1100,0
PNB,04/07/2020,19.52,20.2,19.52,19.82,457800,-4057178
PSB,04/07/2020,43.95,43.95,43.95,43.95,300,0
PTC,04/07/2020,76.6,76.6,76.6,76.6,10,0
RCB,04/07/2020,17.68,17.68,17.68,17.68,34700,-10608
SECB,04/07/2020,109,112.5,107,107,784170,-24324639
UBP,04/07/2020,53.8,53.9,53,53,15890,-752640
BKR,04/07/2020,0.56,0.61,0.56,0.61,52000,0
COL,04/07/2020,15.8,15.9,15.3,15.3,46400,0
FAF,04/07/2020,0.5,0.5,0.5,0.5,7000,0
FERRO,04/07/2020,2.66,2.67,2.5,2.67,150000,0
I,04/07/2020,0.86,0.87,0.86,0.86,223000,0
MED,04/07/2020,0.32,0.34,0.29,0.29,460000,0
NRCP,04/07/2020,0.62,0.68,0.62,0.68,3000,0
PSE,04/07/2020,170,170,169,169.5,1680,-52730
SLF,04/07/2020,1620,1620,1620,1620,10,0
^INDUSTRIAL,04/07/2020,7004.43,7109.57,6932.38,7049.39,1679145,-12401
ACEPH,04/07/2020,2.11,2.12,2.01,2.04,6391000,-432010
ACR,04/07/2020,1,1,1,1,13000,0
AP,04/07/2020,28.95,29.3,28.05,28.9,3048800,15167960
BSC,04/07/2020,0.165,0.179,0.165,0.179,690000,0
FGEN,04/07/2020,18.3,18.98,17.6,17.6,1210200,-5911718
FPH,04/07/2020,53.5,53.7,51,51.15,22200,-416817
MER,04/07/2020,270,275,251,266.2,462560,30048624
MWC,04/07/2020,10.7,10.8,10.52,10.62,6184700,-28873392
PCOR,04/07/2020,2.61,2.63,2.58,2.61,1319000,-1131080
PERC,04/07/2020,2.44,2.44,2.44,2.44,13000,0
PNX,04/07/2020,10,10.5,10,10.28,75300,-61160
SHLPH,04/07/2020,18.9,18.9,18.02,18.06,960700,-14985310
SPC,04/07/2020,7.95,7.95,7.72,7.92,194900,19858
VVT,04/07/2020,15.06,15.1,13.8,15.1,2200,-19630
ANI,04/07/2020,6.46,6.5,6.32,6.5,168400,-354780
AXLM,04/07/2020,2.55,2.64,2.51,2.53,2608000,-3675230
BMM,04/07/2020,84.95,97.45,84.95,88,220,0
CAT,04/07/2020,13.7,13.8,13.12,13.12,3400,0
CNPF,04/07/2020,13.9,14.4,13.9,14.3,545200,1761280
DELM,04/07/2020,3.3,3.6,3.3,3.59,39000,-24130
DNL,04/07/2020,5.05,5.1,4.95,5,4555000,2016250
EMP,04/07/2020,8,8,7.88,7.99,5401300,-40825547
FB,04/07/2020,53,56,52.9,54,369240,-1408051
FOOD,04/07/2020,0.5,0.54,0.5,0.52,223000,0
FRUIT,04/07/2020,1.29,1.35,1.29,1.33,23005000,127000
GSMI,04/07/2020,32,32.5,31.3,32,668000,18681600
JFC,04/07/2020,110.2,112.5,109,110.5,2745330,-27863100
LFM,04/07/2020,39,39,39,39,800,0
MACAY,04/07/2020,6.15,6.15,5.8,5.8,1500,0
MAXS,04/07/2020,4.6,4.63,4.51,4.55,1415000,-4246020
MG,04/07/2020,0.144,0.144,0.14,0.14,810000,0
PIP,04/07/2020,1.79,1.8,1.78,1.8,191000,89550
PIZZA,04/07/2020,5.01,5.18,5.01,5.1,5756000,-15531150
RCI,04/07/2020,1.45,1.45,1.44,1.44,172000,0
RFM,04/07/2020,4.41,4.42,4.41,4.42,6000,17640
SFI,04/07/2020,0.103,0.11,0.102,0.11,820000,0
URC,04/07/2020,117.5,122.6,117.5,122.6,2118760,74699828
VITA,04/07/2020,0.86,0.86,0.8,0.8,9917000,34110
CAB,04/07/2020,48,48,48,48,200,0
CHP,04/07/2020,1.06,1.07,1.05,1.05,4983000,-3635270
