^FINANCIAL,07/13/2020,1215.63,1221.68,1200.13,1209.69,914550,-480634
AUB,07/13/2020,44.7,45.05,44.7,45,3800,-13440
BDO,07/13/2020,94.6,94.6,91.5,91.5,6075420,-358584801
BPI,07/13/2020,72.1,74.5,72,74.5,655910,9932256
CHIB,07/13/2020,20.55,20.8,20.25,20.45,57500,-622285
EW,07/13/2020,7.75,7.75,7.59,7.59,373900,0
MBT,07/13/2020,36.5,36.9,36,36,5628900,-93972099
PBB,07/13/2020,8.5,8.5,8.11,8.5,2200,0
PBC,07/13/2020,17.48,17.48,17,17.3,7900,0
PNB,07/13/2020,20.9,21,20.05,20.1,1911900,-31607220
PSB,07/13/2020,47.95,48,47.95,47.95,1300,0
PTC,07/13/2020,96.05,96.05,96.05,96.05,10,0
RCB,07/13/2020,17.16,17.16,16.8,16.8,40500,-229100
SECB,07/13/2020,101.3,102.5,101,102.5,343320,-5491876
UBP,07/13/2020,53.5,54.25,53.5,53.8,6660,-143604
BKR,07/13/2020,0.8,0.8,0.8,0.8,1000,0
COL,07/13/2020,21.25,21.25,20.9,21.25,45200,0
FERRO,07/13/2020,2.43,2.43,2.43,2.43,4000,0
FFI,07/13/2020,8,8.09,8,8.09,3400,0
I,07/13/2020,1,1,1,1,1000,0
NRCP,07/13/2020,0.59,0.59,0.57,0.58,20000,0
PSE,07/13/2020,161.6,166,160,165,6650,-33200
SLF,07/13/2020,1740,1740,1675,1675,150,125625
V,07/13/2020,1.06,1.14,1.06,1.14,30000,5300
^INDUSTRIAL,07/13/2020,7648.39,7703.15,7595.47,7689.89,790061,-13829
ACEPH,07/13/2020,2.25,2.25,2.21,2.23,2592000,69030
ACR,07/13/2020,1.15,1.15,1.14,1.15,56000,0
AP,07/13/2020,26.85,27,26.55,26.55,532800,-6296565
BSC,07/13/2020,0.152,0.158,0.151,0.158,340000,0
FGEN,07/13/2020,24.95,24.95,23.45,23.7,3348900,35452470
FPH,07/13/2020,63.05,63.5,62.4,63.05,89650,-1908917
MER,07/13/2020,277,278,274,276.4,136530,-10115716
MWC,07/13/2020,14,14.48,13.9,14.3,3689600,-2483546
